교차로명,통행량8,통행량13,통행량18,좌회전 비율8,좌회전 비율13,좌회전 비율18,위도,경도,사고건수,사망 건수,중상 건 수,경상 건 수,부상 건 수,사망자 수,중상자 수,경상자 수,부상자 수,교차로 반경 50m 내 무인교통단속카메라 수,교차로 반경 50m 내 신호등 수,교차로 반경 50m 내 신호등 유무,LCLAS_경상사고,LCLAS_중상사고,LCLAS_사망사고,LCLAS_부상신고사고,SCLAS_차대차,SCLAS_차량단독,SCLAS_차대사람,DRNKG,KID,ODSN,WLKG,VIOLT_CN_안전거리미확보,VIOLT_CN_안전운전의무불이행,VIOLT_CN_기타,VIOLT_CN_신호위반,VIOLT_CN_보행자보호의무위반,VIOLT_CN_교차로통행방법위반,VIOLT_CN_중앙선침범,VIOLT_CN_과속
흥덕4,4401,3121,4571,17.66,18.26,20.06,36.645295,127.478596,8,0,2,6,0,0,3,9,0,0,0,0,10,2,0,0,11,0,1,0,0,2,1,3,6,0,3,0,0,0,0
현도면사무소3,2427,1589,2269,18.29419036,13.34172435,7.051564566,36.486378,127.423642,3,0,2,1,0,0,2,1,0,2,0,0,2,2,0,0,3,0,1,0,0,2,1,1,2,1,0,0,0,0,0
효촌분기점3,3331,2314,3107,32.33263284,25.97234226,34.01995494,36.585801,127.508794,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
터미널4,6965,5178,7569,7.365398421,6.701429123,6.856916369,36.628709,127.428424,10,0,2,10,2,0,2,16,2,0,2,1,9,2,0,0,11,0,0,1,1,1,0,0,2,1,8,0,0,0,0
하이닉스반도체4,4821,3490,4967,18.63,19.71,18.36,36.653656,127.435323,6,0,0,6,0,0,0,10,0,0,2,1,10,0,0,0,10,0,0,1,1,1,1,0,5,1,3,0,0,1,0
충북학생교육문화원4,5539,3677,5472,4.04,7.51,7.58,36.682957,127.482354,5,0,3,5,0,0,3,14,0,0,4,1,5,4,0,0,9,0,0,2,0,1,0,0,5,0,4,0,0,0,0
태산그린아파트4,4838,2618,4810,11.93,14.82,14.47,36.6132,127.510297,9,0,2,8,0,0,3,22,0,0,0,0,8,2,0,0,9,0,1,2,3,1,1,0,5,1,4,0,0,0,0
오창4,4836,3498,4170,12.9,13.35,11.58,36.740656,127.452498,11,0,4,7,0,0,4,11,0,0,0,0,7,4,0,0,9,0,2,1,1,2,2,1,6,1,2,0,1,0,0
오창LG화학,5405,2586,4492,23.76,23.86,20.66,36.731941,127.449395,2,0,1,2,0,0,1,2,0,0,0,0,3,1,0,0,4,0,0,1,0,1,0,0,2,0,1,0,1,0,0
오송2교차로4,3288,1966,2560,13.96,17.09,25.59,36.613667,127.332313,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
오송만수4,3580,1901,2865,18.85,22.36,20.59,36.630124,127.333619,2,0,1,1,0,0,1,2,0,0,0,0,3,1,0,0,4,0,0,0,0,1,0,0,2,0,1,0,1,0,0
송천교서편4,2903,1644,2934,27.76,32.42,36.54,36.666446,127.46366,3,0,2,2,0,0,2,2,0,0,2,1,1,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0
오동분기점4,7623,4813,7017,11.83,13.34,12.53,36.69625,127.474817,3,0,0,3,0,0,0,7,0,0,0,0,6,2,0,0,8,0,0,0,0,0,0,1,5,0,1,0,1,0,0
성안동주민센터4,2020,1402,1983,20.5,19.4,29.35,36.631442,127.492856,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,2,2,0,2,1,0,0,0,0,0
솔밭공원4,5708,3944,6048,16.49,15.72,15.62,36.64426,127.435316,4,0,1,4,1,0,1,11,2,0,10,1,5,1,0,0,6,0,0,2,0,2,0,0,4,0,2,0,0,0,0
율량교4,4040,2647,4096,19.03,19.12,21.17,36.664676,127.493244,14,0,5,12,0,0,5,19,0,0,3,1,15,6,0,0,20,0,1,0,2,5,1,2,6,7,1,0,4,1,0
율량상리4,7803,3905,7341,22.47,25.86,29.94,36.66214,127.511986,9,0,4,6,0,0,8,12,0,1,11,1,6,4,0,0,10,0,0,2,1,0,0,2,5,0,2,0,1,0,0
옥산교4,3034,2158,2643,15.59,16.54,16.69,36.657097,127.385064,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
용암농협4,4252,2394,4505,16.72,15.2,16.32,36.609192,127.506165,5,0,1,4,0,0,1,6,0,0,0,0,6,2,0,0,7,0,1,0,1,1,1,1,2,1,1,1,2,0,0
오창창리4,5690,4032,5383,20.54,23.24,22.22,36.737604,127.45791,6,0,1,5,0,0,1,12,0,1,0,0,1,7,0,0,8,0,0,1,0,0,0,0,6,0,1,0,0,1,0
오창한라비발디파크4,2774,1705,2831,16.73,14.49,14.45,36.71173,127.41914,6,0,1,6,0,0,2,9,0,0,0,0,5,1,0,0,6,0,0,0,0,0,0,0,1,0,5,0,0,0,0
오창벤처프라자4,3986,2148,3398,24.41,15.32,17.13,36.710814,127.429942,2,0,0,2,0,0,0,5,0,0,0,0,3,1,0,0,4,0,0,1,2,1,0,0,3,0,0,0,1,0,0
오창지하차도4,6322,3582,5680,18.26953496,19.03964266,16.90140845,36.709458,127.433438,3,0,1,2,0,0,1,2,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0
주성4,5383,3207,6175,27.72,25.44,22.01,36.675658,127.496401,2,0,2,0,0,0,3,0,0,0,11,1,2,2,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0
죽림4,5679,3571,5517,17.13,17.7,17.38,36.6127788,127.4403712,9,0,4,8,1,0,5,11,1,0,9,1,9,5,0,0,14,0,0,2,0,1,0,3,6,0,3,0,1,1,0
제2운천교동편5,5458,4110,5670,16.12312202,16.81265207,15.82010582,36.657254,127.474893,6,0,4,2,0,0,4,5,0,0,3,1,6,7,0,0,11,1,1,2,1,2,1,0,3,0,8,0,2,0,0
제2운천교서편4,4742,3249,4660,9.93,11.39,9.55,36.65628,127.473221,3,0,0,3,0,0,0,3,0,0,9,1,4,1,0,0,5,0,0,1,0,0,0,0,2,0,2,0,0,1,0
장성4,3283,1985,3482,10.72,11.79,16.86,36.594628,127.486869,6,1,2,4,0,1,2,9,0,1,12,1,6,1,1,0,8,0,0,1,0,2,0,1,3,1,3,0,0,0,0
정하4,4892,3367,4966,8.4,7.4,7.31,36.668665,127.467913,2,0,1,1,0,0,1,1,0,1,0,0,5,2,0,0,6,1,0,1,0,0,0,0,7,1,0,0,0,0,0
율량육교4,6339,4208,6180,27.31,25.5,28.35,36.674266,127.483242,4,0,3,2,0,0,3,3,0,0,2,1,1,2,0,0,2,1,0,1,0,0,0,0,3,0,0,0,0,0,0
율량칸타빌4,3021,1837,3642,20.79,20.25,22.13,36.672476,127.49613,7,0,0,7,0,0,0,10,0,0,0,0,8,0,0,0,8,0,0,0,1,1,0,0,4,1,2,0,0,0,0
청주역분기점4,2049,1646,2099,31.72,28.61,29.87,36.646597,127.393526,4,0,0,4,0,0,0,5,0,0,8,1,4,0,0,0,3,0,1,0,0,0,1,1,2,0,0,0,1,0,0
충북교육과학연구원4,2046,1323,1879,20.63,23.2,23.26,36.637413,127.492161,5,0,0,5,0,0,0,6,0,0,6,1,6,3,0,0,6,1,2,0,1,2,2,0,6,0,0,1,1,1,0
청원나들목4,3970,2554,3416,28.79,28.62,29.6,36.533659,127.426389,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,1,1,0,0,2,0,1,0,0,1,0
청주대교동편4,3431,2973,3946,21.83,21.49,23.8,36.636723,127.484635,6,0,2,6,1,0,2,7,1,0,2,1,12,0,0,0,12,0,0,1,0,1,0,0,9,1,2,0,0,0,0
지북4,5328,3549,5179,21.66,20.68,22.92,36.597354,127.505572,6,0,0,5,1,0,0,6,1,1,2,1,10,2,0,0,11,0,1,0,0,2,1,3,5,0,3,0,0,0,0
청남교4,3956,2855,3915,27.78,21.89,20.97,36.62597,127.489622,9,0,1,8,0,0,1,10,0,0,1,1,12,1,0,0,11,0,2,0,0,2,2,0,7,1,2,0,3,0,0
죽림교4,4385,2582,4461,15.92,18.59,16.88,36.615924,127.444252,5,0,1,4,0,0,1,8,0,0,0,0,9,5,0,0,14,0,0,1,0,1,0,3,6,0,3,0,1,1,0
증평나들목4,2504,2148,2246,25.72,27.93,33.57,36.77162,127.502093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
개신5,4152,3211,4089,44.8699422,47.67985051,44.38738078,36.624455,127.46395,10,0,2,9,0,0,2,14,0,0,11,1,7,4,0,0,7,1,3,1,1,2,3,2,5,0,2,1,2,1,0
김수녕양궁장5,4312,2598,4152,12.73191095,11.58583526,11.75337187,36.62762,127.520007,3,0,0,3,0,0,0,3,0,0,2,1,4,1,0,0,5,0,0,0,0,0,0,0,1,0,4,0,0,0,0
강내탑연3,4330,2960,3692,19.86143187,19.86486486,14.78873239,36.62391,127.35857,4,0,0,4,0,0,0,5,0,0,0,0,7,0,0,1,7,0,1,2,0,4,1,0,4,0,3,0,0,1,0
강외서평3,3312,2332,3112,30.58574879,26.84391081,24.96786632,36.605214,127.309905,2,0,1,2,0,0,1,3,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
가마육교4,4912,3073,4897,22.11,24.15,25.83,36.59609,127.471779,4,0,1,4,0,0,2,5,0,0,0,0,3,4,0,0,7,0,0,1,0,0,0,0,3,0,4,0,0,0,0
강내월곡4,4831,3128,4134,13.14,17.9,19.55,36.624493,127.369452,6,0,1,5,0,0,2,11,0,0,0,0,5,1,0,0,6,0,0,2,0,1,0,0,5,0,1,0,0,0,0
가덕지구대3,1628,1084,1434,14.43488943,19.74169742,25.80195258,36.561536,127.541219,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
명암타워4,5157,2669,5007,4.44,8.06,3.24,36.641263,127.49201,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0
모충대교서편5,3087,2089,3166,16.90962099,17.85543322,19.93051169,36.629247,127.48162,7,0,3,5,0,0,3,7,0,0,0,0,7,2,0,0,8,0,1,1,0,2,1,1,5,0,0,0,1,2,0
내수덕암교4,2006,1259,2039,14.61,18.27,15.01,36.71328,127.53591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
내수만남의광장5,1600,1279,1670,21.25,21.65754496,16.34730539,36.725039,127.541909,1,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,2,0,1,0,0,1,1,0,2,0,0,0,1,0,0
남일고은4,2395,1795,2337,47.72,44.35,34.4,36.563265,127.510571,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0
내덕4,3676,2453,3785,28.21,24.46,26.31,36.657255,127.48829,12,0,4,9,0,0,4,15,0,0,8,1,9,4,0,0,12,1,0,0,2,2,0,2,6,1,3,0,1,0,0
남이외천3,3189,2173,3091,15.11445594,18.03957662,14.17017147,36.55731,127.43162,1,0,0,1,0,0,0,3,0,1,0,0,3,0,0,0,3,0,0,1,0,1,0,1,2,0,0,0,0,0,0
남이초교3,2998,2032,2920,5.23682455,7.086614173,12.02054795,36.575441,127.454423,1,0,1,1,0,0,1,6,0,1,2,1,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
사천교4,3514,2405,3586,10.47,10.44,10.29,36.665255,127.486677,5,0,3,3,0,0,4,7,0,0,2,1,5,4,0,0,7,0,1,1,0,3,1,3,3,0,3,0,0,0,0
산남4,5256,3656,5188,19.04,16.96,19.1,36.6155481,127.468843,3,0,0,3,0,0,0,5,0,0,5,1,5,0,0,0,3,0,2,0,0,3,2,1,2,0,1,1,0,0,0
분평4,6181,4755,7117,19.54,21.03,20.23,36.6070494,127.4795922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사창4,6818,5164,6684,19.36,18.67,20.3,36.634887,127.460178,21,1,4,18,0,2,4,36,0,3,0,0,25,3,1,0,24,0,5,0,1,3,5,2,15,4,7,1,0,0,0
봉명4,6489,5098,6093,23.09,21.09,22.9,36.64304,127.462452,11,0,1,11,0,0,1,19,0,2,0,0,22,2,0,0,21,0,3,6,0,1,3,3,12,2,1,1,1,0,0
북의옥수3,3629,2211,3515,10.9672086,14.60877431,12.66002845,36.771946,127.564689,2,0,1,2,0,0,2,2,0,0,0,0,2,1,0,0,3,0,0,1,1,0,0,0,1,0,2,0,0,0,0
문의IC3,987,933,955,38.80445795,21.75777063,23.97905759,36.526109,127.502251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
방서4,5975,4219,6182,23.13,24.7,23.5,36.606125,127.500912,9,0,1,8,1,0,1,15,1,1,1,1,9,1,0,0,10,0,0,1,0,0,0,0,5,0,5,0,0,0,0
선관위4,3908,3249,4876,17.71,15.45,16,36.631216,127.426506,11,0,3,8,1,0,4,11,1,0,0,0,16,4,0,1,18,1,2,7,2,1,2,1,12,1,5,0,1,0,0
성모병원4,4652,3187,5027,15.69,17.07,16.01,36.671522,127.483253,11,0,2,9,0,0,2,18,0,1,6,1,10,2,0,0,10,0,2,2,2,0,2,1,7,1,3,0,0,0,0
석교4,2688,2398,2721,30.58,25.85,25.36,36.628269,127.491405,16,0,4,15,0,0,5,22,0,0,0,0,17,4,0,0,14,2,5,2,0,3,6,2,14,2,2,1,0,0,0
석판분기점4,1701,977,1792,28.81,25.59,39.4,36.6028,127.44037,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
서문교하상도로3,1738,770,1991,19.33256617,28.96103896,30.98945254,36.636148,127.484193,3,0,0,3,0,0,0,3,0,0,6,1,9,5,0,0,13,0,1,1,0,2,1,0,7,1,2,0,0,0,0
서청주교4,6176,4882,6546,30.93,25.17,23.48,36.64647,127.422813,7,0,0,7,0,0,0,10,0,0,3,1,10,0,0,0,10,0,0,1,0,1,0,0,6,1,0,0,3,0,0
산업단지6,4223,3357,4500,16.05493725,14.00059577,19.55555556,36.63429,127.447422,11,0,1,9,1,0,1,14,1,1,3,1,11,1,0,1,9,,4,0,1,1,4,0,4,0,7,1,1,0,0
상당4,5328,3549,5179,21.66,20.68,22.92,36.637231,127.49029,4,0,1,3,0,0,1,7,0,0,12,1,4,3,0,1,7,0,1,0,1,4,1,0,6,1,0,0,0,1,0
