교차로명,통행량,좌회전 비율8,좌회전 비율13,좌회전 비율18,사고건수,교차로 반경 50m 내 무인교통단속카메라 수,교차로 반경 50m 내 신호등 수,교차로 반경 50m 내 신호등 유무
흥덕4,12093,17.66,18.26,20.06,8,0,0,0
현도면사무소3,6285,18.29419036,13.34172435,7.051564566,3,2,0,0
효촌분기점3,8752,32.33263284,25.97234226,34.01995494,0,0,0,0
터미널4,19712,7.365398421,6.701429123,6.856916369,10,0,2,1
하이닉스반도체4,13278,18.63,19.71,18.36,6,0,2,1
충북학생교육문화원4,14688,4.04,7.51,7.58,5,0,4,1
태산그린아파트4,12266,11.93,14.82,14.47,9,0,0,0
오창4,12504,12.9,13.35,11.58,11,0,0,0
오창LG화학,12483,23.76,23.86,20.66,2,0,0,0
오송2교차로4,7814,13.96,17.09,25.59,0,0,0,0
오송만수4,8346,18.85,22.36,20.59,2,0,0,0
송천교서편4,7481,27.76,32.42,36.54,3,0,2,1
오동분기점4,19453,11.83,13.34,12.53,3,0,0,0
성안동주민센터4,5405,20.5,19.4,29.35,0,0,0,0
솔밭공원4,15700,16.49,15.72,15.62,4,0,10,1
율량교4,10783,19.03,19.12,21.17,14,0,3,1
율량상리4,19049,22.47,25.86,29.94,9,1,11,1
옥산교4,7835,15.59,16.54,16.69,1,0,0,0
용암농협4,11151,16.72,15.2,16.32,5,0,0,0
오창창리4,15105,20.54,23.24,22.22,6,1,0,0
오창한라비발디파크4,7310,16.73,14.49,14.45,6,0,0,0
오창벤처프라자4,9532,24.41,15.32,17.13,2,0,0,0
오창지하차도4,15584,18.26953496,19.03964266,16.90140845,3,0,0,0
주성4,14765,27.72,25.44,22.01,2,0,11,1
죽림4,14767,17.13,17.7,17.38,9,0,9,1
제2운천교동편5,15238,16.12312202,16.81265207,15.82010582,6,0,3,1
제2운천교서편4,12651,9.93,11.39,9.55,3,0,9,1
장성4,8750,10.72,11.79,16.86,6,1,12,1
정하4,13225,8.4,7.4,7.31,2,1,0,0
율량육교4,16727,27.31,25.5,28.35,4,0,2,1
율량칸타빌4,8500,20.79,20.25,22.13,7,0,0,0
청주역분기점4,5794,31.72,28.61,29.87,4,0,8,1
충북교육과학연구원4,5248,20.63,23.2,23.26,5,0,6,1
청원나들목4,9940,28.79,28.62,29.6,0,0,0,0
청주대교동편4,10350,21.83,21.49,23.8,6,0,2,1
지북4,14056,21.66,20.68,22.92,6,1,2,1
청남교4,10726,27.78,21.89,20.97,9,0,1,1
죽림교4,11428,15.92,18.59,16.88,5,0,0,0
증평나들목4,6898,25.72,27.93,33.57,0,0,0,0
개신5,11452,44.8699422,47.67985051,44.38738078,10,0,11,1
김수녕양궁장5,11062,12.73191095,11.58583526,11.75337187,3,0,2,1
강내탑연3,10982,19.86143187,19.86486486,14.78873239,4,0,0,0
강외서평3,8756,30.58574879,26.84391081,24.96786632,2,0,0,0
가마육교4,12882,22.11,24.15,25.83,4,0,0,0
강내월곡4,12093,13.14,17.9,19.55,6,0,0,0
가덕지구대3,4146,14.43488943,19.74169742,25.80195258,0,0,0,0
명암타워4,12833,4.44,8.06,3.24,1,0,0,0
모충대교서편5,8342,16.90962099,17.85543322,19.93051169,7,0,0,0
내수덕암교4,5304,14.61,18.27,15.01,0,0,0,0
내수만남의광장5,4549,21.25,21.65754496,16.34730539,1,0,0,0
남일고은4,6527,47.72,44.35,34.4,1,0,0,0
내덕4,9914,28.21,24.46,26.31,12,0,8,1
남이외천3,8453,15.11445594,18.03957662,14.17017147,1,1,0,0
남이초교3,7950,5.23682455,7.086614173,12.02054795,1,1,2,1
사천교4,9505,10.47,10.44,10.29,5,0,2,1
산남4,14100,19.04,16.96,19.1,3,0,5,1
분평4,18053,19.54,21.03,20.23,0,0,0,0
사창4,18666,19.36,18.67,20.3,21,3,0,0
봉명4,17680,23.09,21.09,22.9,11,2,0,0
북의옥수3,9355,10.9672086,14.60877431,12.66002845,2,0,0,0
문의IC3,2875,38.80445795,21.75777063,23.97905759,0,0,0,0
방서4,16376,23.13,24.7,23.5,9,1,1,1
선관위4,12033,17.71,15.45,16,11,0,0,0
성모병원4,12866,15.69,17.07,16.01,11,1,6,1
석교4,7807,30.58,25.85,25.36,16,0,0,0
석판분기점4,4470,28.81,25.59,39.4,1,0,0,0
서문교하상도로3,4499,19.33256617,28.96103896,30.98945254,3,0,6,1
서청주교4,17604,30.93,25.17,23.48,7,0,3,1
산업단지6,12080,16.05493725,14.00059577,19.55555556,11,1,3,1
상당4,14056,21.66,20.68,22.92,4,0,12,1