교차로명,cctv,sign,speed,peek_speed,car,bus,truck,type,school,roundabout,accident,위도,경도
가덕지구대3,0,0,58.72,49.65,1587,36,419,3지,0,0,0,36.561536,127.541219
가마육교4,0,0,29.6,19.05,9683,110,1618,4지,0,0,4,36.59609,127.471779
강내월곡4,0,0,56.98,48.99,2610,113,1179,4지,0,0,6,36.624493,127.369452
강내탑연3,0,0,56.98,48.99,2610,113,1179,3지,0,0,4,36.62391,127.35857
강외서평3,0,0,35.29,15.31,14712,222,3193,3지,0,0,2,36.605214,127.309905
개신5,0,1,59.68,35,11359,502,4095,5지,0,0,10,36.624455,127.46395
김수녕양궁장5,0,1,60.25,40.22,13487,373,4467,5지,0,0,3,36.62762,127.520007
남이외천3,1,0,29.6,19.05,9683,110,1618,3지,0,0,1,36.55731,127.43162
남이초교3,1,1,29.6,19.05,9683,110,1618,3지,1,0,1,36.575441,127.454423
남일고은4,0,0,31.9,21.88,7600,63,947,4지,0,0,1,36.563265,127.510571
내덕4,0,1,38.63,18.98,6110,87,1130,4지,0,0,12,36.657255,127.48829
내수덕암교4,0,0,36.67,17.2,5451,84,1056,4지,0,0,0,36.71328,127.53591
내수만남의광장5,0,0,36.67,17.2,5451,84,1056,5지,0,0,1,36.725039,127.541909
명암타워4,0,0,30.34,20.74,11048,129,1951,4지,0,0,1,36.641263,127.49201
모충대교서편5,0,0,42.81,18.65,3659,62,801,5지,0,0,7,36.629247,127.48162
문의IC3,0,0,68.43,48.77,16520,641,6404,3지,0,0,0,36.526109,127.502251
방서4,1,1,60.25,40.22,7314,169,1698,4지,0,0,9,36.606125,127.500912
봉명4,2,0,33.24,21.35,13840,207,2907,4지,0,0,11,36.64304,127.462452
북의옥수3,0,0,35.49,15.67,10146,142,2067,3지,0,0,2,36.771946,127.564689
분평4,0,0,44.25,21.47,8975,111,1646,4지,1,0,0,36.6070494,127.4795922
사창4,3,0,31.35,20.71,9366,103,1568,4지,0,0,21,36.634887,127.460178
사천교4,0,1,35.48,16.22,7803,80,1224,4지,1,0,5,36.665255,127.486677
산남4,0,1,49.63,23.56,5470,78,1149,4지,1,0,3,36.6155481,127.468843
산업단지6,1,1,31.35,20.71,9366,103,1568,6지,0,0,11,36.63429,127.447422
상당4,0,1,30.34,20.74,11048,129,1951,4지,0,0,4,36.637231,127.49029
서문교하상도로3,0,1,31.66,19.26,6753,71,1066,3지,0,0,3,36.636148,127.484193
서청주교4,0,1,43.04,32.71,8142,192,2145,4지,0,0,7,36.64647,127.422813
석교4,0,0,54.63,49.67,13487,373,4467,4지,0,0,16,36.628269,127.491405
석판분기점4,0,0,29.6,19.05,9683,110,1618,4지,1,0,1,36.6028,127.44037
선관위4,0,0,31.35,20.71,9366,103,1568,4지,0,0,11,36.631216,127.426506
성모병원4,1,1,35.48,16.22,7803,80,1224,4지,0,0,11,36.671522,127.483253
성안동주민센터4,0,0,54.63,49.67,13487,373,4467,4지,0,0,0,36.631442,127.492856
솔밭공원4,0,1,31.35,20.71,9366,103,1568,4지,0,0,4,36.64426,127.435316
송천교서편4,0,1,33.525,18.49,12894,194,2727,4지,0,0,3,36.666446,127.46366
오동분기점4,0,0,31.46,15.75,7522,90,1589,4지,0,0,3,36.69625,127.474817
오송2교차로4,0,0,35.29,15.31,14712,222,3193,4지,0,0,0,36.613667,127.332313
오송만수4,0,0,35.29,15.31,14712,222,3193,4지,0,0,2,36.630124,127.333619
오창4,0,0,34.97,14.43,10483,149,2266,4지,0,0,11,36.740656,127.452498
오창LG화학4,0,0,34.97,14.43,10483,149,2266,4지,0,0,2,36.731941,127.449395
오창벤처프라자4,0,0,34.97,14.43,10483,149,2266,4지,1,0,2,36.710814,127.429942
오창지하차도4,0,0,34.97,14.43,10483,149,2266,4지,1,0,3,36.709458,127.433438
오창창리4,1,0,34.97,14.43,10483,149,2266,4지,1,0,6,36.737604,127.45791
오창한라비발디아파트4,0,0,34.97,14.43,10483,149,2266,4지,0,0,6,36.71173,127.41914
용암농협4,0,0,60.25,40.22,7314,169,1698,4지,1,0,5,36.609192,127.506165
율량고4,0,1,35.48,16.22,7803,80,1224,4지,0,0,14,36.664676,127.493244
율량상리4,1,1,35.48,16.22,7803,80,1224,4지,0,0,9,36.66214,127.511986
율량육교4,0,1,35.48,16.22,7803,80,1224,4지,0,0,4,36.674266,127.483242
율량칸타빌4,0,0,35.49,15.67,9695,106,1584,4지,0,0,7,36.672476,127.49613
장성4,1,1,35.48,16.22,7803,80,1224,4지,0,0,6,36.594628,127.486869
정하4,1,0,35.48,16.22,7803,80,1224,4지,1,0,2,36.668665,127.467913
제2운천교서편4,0,1,38.63,18.98,6110,87,1130,4지,0,0,6,36.657254,127.474893
제2운천교통편5,0,1,56.61,34.43,9589,202,2558,5지,1,0,3,36.65628,127.473221
주성4,0,1,35.49,15.67,9695,106,1584,4지,1,0,2,36.675658,127.496401
죽림4,0,1,59.68,35,11359,502,4095,4지,1,0,9,36.6127788,127.4403712
죽림교4,0,0,59.68,35,11359,502,4095,4지,0,0,5,36.615924,127.444252
증평나들목4,0,0,34.97,14.43,10483,149,2266,4지,0,0,0,36.77162,127.502093
지북4,1,1,42.81,18.65,3659,62,801,4지,0,0,6,36.597354,127.505572
청남교4,0,1,54.63,49.67,13487,373,4467,4지,0,0,9,36.62597,127.489622
청원나들목4,0,0,29.6,19.05,9683,110,1618,4지,0,0,0,36.533659,127.426389
청주대교동편4,0,1,31.66,19.26,6753,71,1066,4지,0,0,6,36.636723,127.484635
청주역분기점4,0,1,54.63,49.67,8762,294,2700,4지,0,0,4,36.646597,127.393526
충북교육과학연구원4,0,1,30.34,20.74,11048,129,1951,4지,0,0,5,36.637413,127.492161
충북학생교육문화원4,0,1,35.49,15.67,9695,106,1584,4지,0,0,5,36.682957,127.482354
태산그린아파트4,0,0,60.25,40.22,7314,169,1698,4지,1,0,9,36.6132,127.510297
터미널4,0,1,31.35,20.71,9366,103,1568,4지,0,0,10,36.628709,127.428424
하이닉스반도체4,0,1,30.34,20.74,11048,129,1951,4지,0,0,6,36.653656,127.435323
현도면사무소3,2,0,59.81,41.72,14514,578,5547,3지,0,0,3,36.486378,127.423642
효촌분기점3,0,0,31.9,21.88,7600,63,947,3지,0,0,0,36.585801,127.508794
흥덕4,0,0,56.61,34.43,9589,202,2558,4지,0,0,8,36.645295,127.478596
옥산금정빌라앞회전교차로,0,0,58.22,45.52,13088,470,4643,3지,0,1,0,36.585145,127.3161
오송서평회전교차로,0,0,35.29,15.31,14712,222,3193,5지,0,1,1,36.661041,127.3688
문의파출소앞회전교차로,0,0,68.43,48.77,16520,641,6404,4지,0,1,0,36.513483,127.4979
내덕회전교차로,0,0,38.63,18.98,6110,87,1130,4지,0,1,4,36.657287,127.4848
북이회전교차로,0,0,35.49,15.67,10146,142,2067,4지,0,1,0,36.738338,127.5415
상당산성회전교차로,0,0,61.59,27.01,13487,373,4467,4지,0,1,1,36.653992,127.5418
가덕상야한계회전교차로,0,0,58.72,49.65,1587,36,419,3지,0,1,0,36.594886,127.5649
남이팔봉삼거리회전교차로,0,0,29.6,19.05,9683,110,1618,3지,0,1,0,36.567101,127.4091
오송쌍청교삼거리회전교차로,0,0,35.29,15.31,14712,222,3193,3지,0,1,2,36.639975,127.3
